,名称,计算机科学与技术学科排名,学校代码,竞争力排名|总排名,省市,类型
0,清华大学,1,10003,3,北京,理工
1,国防科学技术大学,2,90002,,,
2,北京大学,3,10001,2,北京,综合
3,北京航空航天大学,4,10006,27,北京,理工
4,哈尔滨工业大学,5,10213,16,黑龙江,理工
5,上海交通大学,6,10248,5,上海,综合
6,浙江大学,7,10335,4,浙江,综合
7,南京大学,8,10284,10,江苏,综合
8,中国科学技术大学,9,10358,15,安徽,理工
9,东北大学,10,10145,39,辽宁,理工
10,华中科技大学,11,10487,11,湖北,理工
11,北京邮电大学,12,10013,53,北京,理工
12,同济大学,13,10247,20,上海,理工
13,武汉大学,14,10486,7,湖北,综合
14,电子科技大学,15,10614,38,四川,理工
15,西北工业大学,16,10699,33,陕西,理工
16,复旦大学,17,10246,6,上海,综合
17,东南大学,18,10286,23,江苏,理工
18,中山大学,19,10558,9,广东,综合
19,吉林大学,20,10183,12,吉林,综合
20,中南大学,21,10533,14,湖南,综合
21,四川大学,22,10610,8,四川,综合
22,重庆大学,23,10611,30,重庆,理工
23,西安交通大学,24,10698,17,陕西,理工
24,西安电子科技大学,25,10701,47,陕西,理工
25,中国人民大学,26,10002,19,北京,文法
26,北京交通大学,27,10004,43,北京,理工
27,北京工业大学,28,10005,,,
28,北京理工大学,29,10007,28,北京,理工
29,天津大学,30,10056,26,天津,理工
30,合肥工业大学,31,10359,,,
31,湖南大学,32,10532,32,湖南,理工
32,北京科技大学,33,10008,40,北京,理工
33,大连理工大学,34,10141,18,辽宁,理工
34,哈尔滨工程大学,35,10217,48,黑龙江,理工
35,南京航空航天大学,36,10287,36,江苏,理工
36,山东大学,37,10422,13,山东,综合
37,北京师范大学,38,10027,24,北京,师范
38,南开大学,39,10055,22,天津,综合
39,华东师范大学,40,10269,29,上海,师范
40,南京理工大学,41,10288,42,江苏,理工
41,西南交通大学,42,10613,44,四川,理工
42,重庆邮电大学,43,10617,,,
43,兰州大学,44,10730,34,甘肃,综合
44,解放军理工大学,45,90006,,,
